image,dynamic,fixed_yaml,fixed_50,all_same
322250843_1186131352027654_8128960996329119574_n_jpg.rf.1c767e790100999022b10df009b7d999.jpg,SAFE,SAFE,SAFE,1
322828325_962944021337628_1874479558312964397_n_jpg.rf.e37dc6a31819104bf1f9c5a0f6d97e89.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
324392425_708809327578441_4136788493901408811_n_jpg.rf.1611c89a8a10c30802c6bcdd1e291e05.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
325387005_1317387592372410_6343247785253283797_n_jpg.rf.80df179641af6656d33716fda4492a3f.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
325409542_839473773812693_5171051284896275114_n_jpg.rf.7bbcf02183750e5308aaa743707a3912.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
325600922_530914825682457_6778187626933356332_n_jpg.rf.2f18a5a521db9e4298f1cd424608d219.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
325692500_1191531568457925_6740890655939230611_n_jpg.rf.f126f1e5fb086404e8df91609561adde.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
325696747_1018803589076238_7331590847631694492_n-1-_jpeg.rf.51431d97eba4e2c2a5d74837a1ccc957.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
325703891_555974033244057_1859569487481249809_n_jpg.rf.6bdfa1106097cace272db91db53a20b7.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
325704532_691962849076031_9101256235223666838_n_jpg.rf.b46f0c7ba1559084bc4755a5bb5e6e3b.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
325707283_3108452296122737_2783769587588717054_n_jpeg.rf.4e663c179f13e85d295ea6fa3ca449b2.jpg,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,OBJECT_TO_MOUTH,1
